X.UTM20	Y.UTM20	ID_2	pH	EC	SOC	TN	Mn	Cu	Zn	WHC	Sand	Silt	Clay	Al.Ox.	Fe.Ox.	P	K	Ca	Na	Mg	CEC	Elevation	Tm	pp	TvsPP	Kdg	Kda	Kdg_measured	Kda_measured	Zone_4	geometry	log_kda_sim	cat_kda_sim	log_kdg_sim	cat_kdg_sim	land_uses_obs	adapt_obs	betasok	vida_media	CATvida_media	LN_vida_media	Porcentaje2_rec
464229.43	6338212.38	140	6.70	0.35	11.38	0.13	93.30	0.10	0.01	13.40	45.70	37.20	17.10	0.16	0.12	19.42	819.00	1376	230.00	432.00	10.30	158	170	799	0.21	50.33	3.48	"Yes"	"Yes"	"IV"	"c(464229.43, 6338212.38)"	1.24703229378638	"high"	3.91860132078827	"medium"	Grass_crop	1	-0.030968185704552	22.3825569625818	.	3.10828194848359	73.8775510204082
465851.56	6355546.78	139	8.20	4.61	10.53	0.11	97.30	1.70	0.90	12.60	47.20	40.00	12.90	0.13	.	88.52	897.00	1792	299.00	204.00	13.00	170	170	793	0.21	.	.	"No"	"No"	"IV"	"c(465851.56, 6355546.78)"	1.10331149464423	"high"	2.02296900754439	"low"	Grass_crop	1	.	.	.	.	.
457447.09	6401522.79	137	6.90	0.15	12.19	0.14	141.90	0.20	2.34	16.80	25.00	54.80	20.20	0.15	.	62.56	1326.00	1550	69.00	331.20	14.90	225	169	771	0.22	.	.	"No"	"No"	"III"	"c(457447.09, 6401522.79)"	1.13452999567607	"high"	3.33503815801995	"medium"	Grass_crop	1	.	.	.	.	.
433488.84	6656235.7	154	6.70	0.26	15.23	0.18	207.70	0.70	1.59	24.70	8.80	64.80	26.50	0.12	.	35.27	897.00	1378	345.00	444.00	24.80	276	183	797	0.23	.	.	"No"	"No"	"III"	"c(433488.84, 6656235.7)"	1.19883663214503	"high"	3.50892586533552	"high"	Grass_crop	1	.	.	.	.	.
446602.99	6357883.3	169	6.03	0.10	8.10	0.09	84.80	1.00	0.01	12.60	94.80	0.00	5.20	0.12	.	11.76	651.30	1456	4.60	241.20	8.67	209	170	795	0.21	.	.	"No"	"No"	"IV"	"c(446602.99, 6357883.3)"	0.974609700017593	"high"	2.80883630853135	"medium"	Grass_crop	1	.	.	.	.	.
435863.85	6379223.07	168	6.35	0.12	9.28	0.08	75.90	1.10	0.01	13.10	47.10	38.40	14.40	0.13	.	12.88	741.00	1892	4.60	218.40	7.78	241	170	790	0.22	.	.	"No"	"No"	"IV"	"c(435863.85, 6379223.07)"	1.06472345566502	"high"	3.25312315311161	"medium"	Grass_crop	1	.	.	.	.	.
443077.86	6398613.19	167	6.80	0.32	17.74	0.17	142.60	1.00	1.67	18.90	36.60	45.90	17.50	0.14	.	86.99	1248.00	1698	253.00	404.40	15.90	241	170	779	0.22	.	.	"No"	"No"	"III"	"c(443077.86, 6398613.19)"	1.28119121630117	"high"	3.21702605835498	"medium"	Grass_crop	1	.	.	.	.	.
440484.77	6275979.3	173	5.50	0.12	7.54	0.09	56.90	0.10	0.45	10.80	72.20	19.80	8.00	0.10	.	24.12	573.30	1258	4.60	96.00	7.51	175	171	801	0.21	.	.	"No"	"No"	"IV"	"c(440484.77, 6275979.3)"	0.881953404048454	"high"	3.10932468409171	"medium"	Grass_crop	1	.	.	.	.	.
431151.69	6297512.12	172	5.83	0.09	11.75	0.11	82.60	0.60	0.01	14.90	55.90	20.00	24.10	0.13	.	22.18	760.50	1296	4.60	238.80	8.78	207	171	806	0.21	.	.	"No"	"No"	"IV"	"c(431151.69, 6297512.12)"	1.04701649812255	"high"	4.02484831199051	"high"	Grass_crop	1	.	.	.	.	.
439491.94	6318077.2	171	5.71	0.07	8.38	0.08	45.70	0.30	0.01	10.00	80.50	12.80	6.70	0.11	.	14.41	518.70	1110	6.90	172.80	7.34	211	170	809	0.21	.	.	"No"	"No"	"IV"	"c(439491.94, 6318077.2)"	0.917799990149883	"high"	2.99897227167696	"medium"	Grass_crop	1	.	.	.	.	.
436267.75	6422024.45	166	6.60	0.13	17.44	0.13	151.20	1.70	0.53	20.60	26.40	52.50	21.10	0.15	.	40.68	741.00	1880	299.00	483.60	25.60	281	169	784	0.22	.	.	"No"	"No"	"III"	"c(436267.75, 6422024.45)"	1.26315494871848	"high"	3.58073324955548	"high"	Grass_crop	1	.	.	.	.	.
444384.32	6572176.24	158	6.70	0.22	13.73	0.18	194.20	0.90	0.44	23.00	17.10	58.00	24.90	0.11	.	51.11	967.20	2616	4.60	325.20	20.33	195	178	807	0.22	.	.	"No"	"No"	"III"	"c(444384.32, 6572176.24)"	1.26221536210312	"high"	3.35732608826809	"medium"	Grass_crop	1	.	.	.	.	.
439227.16	6596823.36	157	6.60	0.15	13.12	0.17	209.50	0.70	0.55	22.50	13.50	58.90	27.60	0.11	.	10.32	1209.00	2460	322.00	475.20	29.20	186	180	796	0.23	.	.	"No"	"No"	"III"	"c(439227.16, 6596823.36)"	1.22492351398627	"medium"	3.49541702710103	"high"	Grass_crop	1	.	.	.	.	.
430584.39	6631844.69	155	6.80	0.24	13.54	0.15	317.20	3.00	1.58	23.50	15.00	59.90	25.10	0.10	.	85.46	858.00	1952	299.00	67.20	20.20	262	180	782	0.23	.	.	"No"	"No"	"III"	"c(430584.39, 6631844.69)"	1.10864187044143	"high"	3.19940905821561	"medium"	Grass_crop	1	.	.	.	.	.
437738.53	6502293.25	162	7.20	0.18	13.27	0.15	167.80	0.70	0.01	20.70	18.20	58.50	23.20	0.14	.	48.55	936.00	1840	138.00	288.00	20.90	286	173	796	0.22	.	.	"No"	"No"	"III"	"c(437738.53, 6502293.25)"	1.1725891925085	"high"	3.26500692364452	"medium"	Grass_crop	1	.	.	.	.	.
439488.01	6534812.88	160	7.00	0.09	15.38	0.15	285.90	1.40	0.32	21.90	13.20	61.50	25.30	0.13	.	46.61	897.00	2600	322.00	387.60	24.90	227	174	806	0.22	.	.	"No"	"No"	"III"	"c(439488.01, 6534812.88)"	1.29790660764644	"high"	3.39245770695104	"medium"	Grass_crop	1	.	.	.	.	.
439454.51	6556925.52	159	6.70	0.21	12.72	0.15	206.70	1.30	0.01	23.20	11.10	60.10	28.80	0.12	.	37.31	955.50	2808	4.60	282.00	22.90	221	176	803	0.22	.	.	"No"	"No"	"III"	"c(439454.51, 6556925.52)"	1.25289372258519	"high"	3.69247308576718	"high"	Grass_crop	1	.	.	.	.	.
348091.44	6386836.04	317	6.6	0.08	13.23	0.13	98.7	2	0.01	13.1	38.7	47.9	13.4	0.103881081433648	.	11.24	741	1920	276	420	13.1	761	157	709	0.22	.	.	"No"	"No"	"II"	"c(348091.44, 6386836.04)"	0.321426042166847	"low"	2.72078605940005	"medium"	Grass_crop	1	.	.	.	.	.
358358.83	6422919.2	316	6.6	0.1	11.37	0.09	150.5	2.1	0.01	14.2	42.4	48.1	9.5	0.103560998276148	.	25.02	819	3524	322	429.6	12.4	565	165	667	0.25	.	0.86	"No"	"Yes"	"IV"	"c(358358.83, 6422919.2)"	-0.150822889734584	"low"	2.51185357441888	"medium"	Grass_crop	1	.	.	.	.	.
372915.38	6201693.21	297	6.8	0.05	6.75	0.06	43.8	0.9	0.94	7.2	79.2	12.4	8.4	0.0669428828292053	.	55.81	585	1456	230	422.4	8.4	228	170	696	0.24	.	1.43	"No"	"Yes"	"IV"	"c(372915.38, 6201693.21)"	0.357674444271816	"medium"	1.7742983900749	"low"	Grass_crop	1	.	.	.	.	.
348477.51	6320510.23	321	7.4	0.06	10.4	0.11	47.3	1.1	1.42	9.3	78	14.6	7.4	0.0840133366807361	.	42.83	585	1456	276	422.4	9.5	553	164	760	0.22	.	.	"No"	"No"	"IV"	"c(348477.51, 6320510.23)"	0.353414023959152	"low"	1.63944928838311	"low"	Grass_crop	1	.	.	.	.	.
338757.84	6338936.77	320	6.7	0.09	17.23	0.16	101.3	2.4	2.67	18.3	35.4	28.2	36.4	0.126553418660191	.	38.84	780	2120	299	273.6	15	682	161	736	0.22	.	1.9	"No"	"Yes"	"II"	"c(338757.84, 6338936.77)"	0.641853886172395	"medium"	4.13341324870041	"high"	Grass_crop	1	.	.	.	.	.
335929.72	6354151.04	319	6.6	0.1	30.54	0.28	106	3.5	2.86	30.6	23.3	49.1	27.5	0.116468889957924	.	44.77	975	2680	299	432	25.2	687	160	724	0.22	.	.	"No"	"No"	"II"	"c(335929.72, 6354151.04)"	1.03716342530317	"medium"	3.6160616092979	"high"	Grass_crop	1	.	.	.	.	.
365058.97	6217702.16	296	6.4	0.09	7.04	0.06	25	0.7	1.54	5.5	85.5	4	10.5	0.06	0.06	19.93	468	1478	299	.	8.2	239	169	701	0.24	5.82	1.04	"Yes"	"Yes"	"IV"	"c(365058.97, 6217702.16)"	0.0392207131532813	"medium"	1.76130026174335	"low"	Grass_crop	1	-0.0370687934075504	18.6989409916634	.	2.92846689079507	89.3877551020408
360297.21	6339369.19	290	6.7	0.13	16.79	0.13	107.1	2.1	2.22	20.8	45.6	36.3	18	0.106230082653591	.	11.04	936	1880	322	663.6	15.3	500	167	776	0.22	.	.	"No"	"No"	"III"	"c(360297.21, 6339369.19)"	0.755882406954117	"high"	2.93215099988843	"medium"	Grass_crop	1	.	.	.	.	.
363949.38	6366384.19	289	6.8	0.06	9.56	0.09	68.9	2.5	0.01	13.2	49.7	36.6	13.6	0.107005284651194	.	14.92	585	2172	322	292.8	13.4	618	162	757	0.21	.	.	"No"	"No"	"IV"	"c(363949.38, 6366384.19)"	0.480816494206828	"high"	2.65047871472198	"medium"	Grass_crop	1	.	.	.	.	.
363104.17	6380446.41	288	7.5	0.16	13.2	0.1	77.2	2.6	0.01	13.5	41.5	46.1	12.4	0.107192362379836	.	7.46	546	2580	345	355.2	12.1	679	159	738	0.22	.	.	"No"	"No"	"II"	"c(363104.17, 6380446.41)"	0.490947076330598	"high"	2.16675249656541	"low"	Grass_crop	1	.	.	.	.	.
360840.65	6258419.58	294	6	0.17	12.47	0.13	104.6	1.4	0.87	16.1	53.7	26.6	19.7	0.0845064875094963	.	42.93	702	2608	276	435.6	14.7	291	170	734	0.23	.	1.63	"No"	"Yes"	"IV"	"c(360840.65, 6258419.58)"	0.488580014818671	"medium"	3.13921970721701	"medium"	Grass_crop	1	.	.	.	.	.
